Timestamp	Filename	Error	Message
2025-05-07 15:21:21.648 +0100	OAM.fmp12	0	  Recovering: field 'ModifiedBy' (5)
2025-05-07 15:21:21.648 +0100	OAM.fmp12	0	  Recovering: field 'Name' (6)
2025-05-07 15:21:21.648 +0100	OAM.fmp12	0	  Recovering: field 'Card Number' (7)
2025-05-07 15:21:21.648 +0100	OAM.fmp12	0	  Recovering: field 'Index No' (9)
2025-05-07 15:21:21.649 +0100	OAM.fmp12	0	  Recovering: field 'Card NO (4dig)' (10)
2025-05-07 15:21:21.649 +0100	OAM.fmp12	0	  Recovering: field 'OALComp' (11)
2025-05-07 15:21:21.651 +0100	OAM.fmp12	0	Recovering indexes for table 'Master'
2025-05-07 15:21:21.651 +0100	OAM.fmp12	0	  Rebuilt value index for field 'Cardholder Name x'; 3 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.651 +0100	OAM.fmp12	0	  Rebuilt word index for field 'Cardholder Name x'; 6 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.651 +0100	OAM.fmp12	0	  Rebuilt value index for field 'Account Number x'; 3 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.651 +0100	OAM.fmp12	0	  Rebuilt word index for field 'Account Number x'; 3 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.652 +0100	OAM.fmp12	0	  Rebuilt value index for field 'Transaction Date'; 3 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.652 +0100	OAM.fmp12	0	  Rebuilt value index for field 'Account Number'; 2 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.652 +0100	OAM.fmp12	0	  Rebuilt word index for field 'Account Number'; 1 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.652 +0100	OAM.fmp12	0	  Rebuilt value index for field 'Cardholder Name'; 2 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.652 +0100	OAM.fmp12	0	  Rebuilt value index for field 'Date'; 3 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.653 +0100	OAM.fmp12	0	  Rebuilt value index for field 'Delete 2'; 1 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.653 +0100	OAM.fmp12	0	Recovering indexes for table 'CC Users'
2025-05-07 15:21:21.653 +0100	OAM.fmp12	0	  Rebuilt value index for field 'PrimaryKey'; 19 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.653 +0100	OAM.fmp12	0	  Rebuilt value index for field 'Name'; 15 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.653 +0100	OAM.fmp12	0	  Rebuilt value index for field 'Index No'; 19 item(s) now exist, difference from old index is 0
2025-05-07 15:21:21.654 +0100	OAM.fmp12	0	Recovering: user account catalog
2025-05-07 15:21:21.654 +0100	OAM.fmp12	0	  Rebuilding user account catalog order list: name 
2025-05-07 15:21:21.654 +0100	OAM.fmp12	0	  Rebuilding user account catalog order list: custom 
2025-05-07 15:21:21.654 +0100	OAM.fmp12	0	  Recovering: user account '<No Access>' (1)
2025-05-07 15:21:21.654 +0100	OAM.fmp12	0	  Recovering: user account '<No Access>' (2)
